timestamp_ms,accel_x_mean,accel_x_std,accel_y_mean,accel_y_std,accel_z_mean,accel_z_std,gyro_x_mean,gyro_y_mean,gyro_z_mean,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,yaw_speed,foot_force_0,foot_force_1,foot_force_2,foot_force_3,body_height,mode,gait_type,error_code,power_v_mean,power_a_mean
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.110588,-1.965000
20,-0.007183,0.027087,-0.221464,0.016930,9.593567,0.037245,-0.012251,-0.006392,0.005326,-0.053070,-0.136864,0.316834,-0.001478,0.002084,-0.022901,-0.016187,-0.018156,-0.707070,0.002131,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.110588,-1.965000
40,-0.053391,0.032935,-0.190339,0.023627,9.583151,0.032053,-0.009481,-0.004155,-0.004368,-0.053112,-0.136909,0.316824,-0.001838,-0.006533,-0.022866,-0.016175,-0.018152,-0.707443,-0.015979,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.119440,-1.965000
60,-0.050652,0.027318,-0.176722,0.030306,9.590498,0.038509,-0.008589,-0.004261,-0.002929,-0.053143,-0.136925,0.316828,0.004734,-0.001642,-0.022318,-0.016165,-0.018192,-0.707540,0.009587,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.965000
80,-0.026772,0.047620,-0.176899,0.026865,9.591008,0.036120,-0.008861,-0.005278,0.002615,-0.053125,-0.136895,0.316817,-0.004178,0.003013,-0.022259,-0.016166,-0.018190,-0.707327,0.020240,0.000000,0.000000,0.000000,0.000000,0.322446,0.000000,0.000000,100.000000,30.119440,-1.965000
100,-0.010047,0.057589,-0.177941,0.031265,9.577619,0.044974,-0.009207,-0.005250,0.004451,-0.053092,-0.136858,0.316808,-0.011943,0.004007,-0.022765,-0.016196,-0.018212,-0.707154,0.008522,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.965000
120,-0.018069,0.057784,-0.180650,0.031266,9.575985,0.041280,-0.008822,-0.005226,0.002896,-0.053111,-0.136878,0.316820,-0.001322,0.000666,-0.022406,-0.016173,-0.018214,-0.707299,-0.007457,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.965000
140,-0.025294,0.066556,-0.182075,0.033792,9.580976,0.042519,-0.008110,-0.006632,0.003574,-0.053142,-0.136916,0.316823,-0.001694,-0.004198,-0.022125,-0.016159,-0.018207,-0.707516,0.005326,0.000000,0.000000,0.000000,0.000000,0.322442,0.000000,0.000000,100.000000,30.119440,-1.965000
160,-0.018954,0.066749,-0.182877,0.034249,9.572018,0.036941,-0.008984,-0.006534,0.005433,-0.053140,-0.136923,0.316830,-0.003035,0.005659,-0.021671,-0.016160,-0.018182,-0.707468,0.015979,0.000000,0.000000,0.000000,0.000000,0.322441,0.000000,0.000000,100.000000,30.119440,-1.965000
180,-0.012936,0.068646,-0.178445,0.035740,9.569893,0.038362,-0.010103,-0.007113,0.006495,-0.053119,-0.136878,0.316831,-0.005892,0.009732,-0.021685,-0.016145,-0.018230,-0.707172,0.020240,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.965000
200,-0.023826,0.059481,-0.181071,0.036869,9.574992,0.030369,-0.009072,-0.006082,0.004261,-0.053107,-0.136882,0.316823,0.004559,-0.000335,-0.022536,-0.016144,-0.018204,-0.707211,-0.003196,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.110588,-1.965000
220,-0.033319,0.065297,-0.176532,0.035376,9.573334,0.033038,-0.009765,-0.005220,0.003196,-0.053118,-0.136919,0.316809,-0.008472,0.001865,-0.022641,-0.016180,-0.018152,-0.707486,-0.009587,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.128294,-1.965000
240,-0.028571,0.061317,-0.171106,0.038725,9.573734,0.034914,-0.010120,-0.003906,0.003941,-0.053131,-0.136944,0.316807,-0.011392,-0.001151,-0.021855,-0.016184,-0.018109,-0.707587,0.001065,0.000000,0.000000,0.000000,0.000000,0.322445,0.000000,0.000000,100.000000,30.119440,-1.965000
