epoch,train_loss,val_loss,rec_loss,inv_loss,var_loss
0,19.1106,731.667,183.534,1.43985,0.813484
1,199.868,2773.53,1955.71,1.6164,0.817257
2,169.883,359.168,1581.78,1.66029,0.80505
3,25.0463,191.163,168.103,1.55466,0.804241
4,55.4154,664.912,445.492,1.48366,0.801953
5,71.611,267.313,592.621,1.43884,0.795863
6,24.4426,92.6692,143.74,1.39287,0.793394
7,18.71,100.043,93.2153,1.35286,0.793381
8,21.5225,148.77,121.294,1.35515,0.795101
9,25.5656,172.94,163.212,1.32211,0.796625
10,24.1966,193.767,158.952,1.24452,0.79747
11,69.0688,1553.38,607.938,1.1925,0.792976
12,40.7662,34.8725,319.96,1.33839,0.786649
13,9.12112,21.5496,26.256,1.29792,0.788122
14,7.62649,15.6195,17.6805,1.29336,0.788202
15,6.77268,12.8139,13.7044,1.2858,0.788485
16,6.2675,11.0651,11.2643,1.29404,0.788989
17,5.86076,9.90196,9.87383,1.29892,0.788968
18,5.49062,9.0597,8.80158,1.29524,0.788215
19,5.20922,7.80248,7.72773,1.29238,0.788984
20,4.95197,7.07753,6.79678,1.28853,0.788828
21,4.64442,6.17378,5.93492,1.29815,0.788704
22,4.45506,5.60068,5.18652,1.2885,0.788545
23,4.16577,4.88194,4.46453,1.30474,0.789006
24,3.96301,4.25061,3.87901,1.28759,0.788583
25,3.7849,3.83729,3.40139,1.28953,0.788474
26,3.62531,3.5242,2.97565,1.27234,0.788423
27,3.53361,3.38123,2.75976,1.28247,0.788875
28,3.4977,3.14286,2.55046,1.28013,0.788698
29,3.37682,2.95099,2.38633,1.26451,0.788242
30,3.34562,2.78023,2.23838,1.26604,0.78802
31,3.27247,2.71557,2.09006,1.25592,0.788243
32,3.18123,2.59586,1.96534,1.24429,0.788173
33,3.14932,2.47964,1.81947,1.27394,0.788169
34,3.05838,2.33316,1.71714,1.258,0.787992
35,2.98156,2.18896,1.64727,1.25454,0.788285
36,2.92472,2.15279,1.51894,1.26676,0.788245
37,2.88128,2.10349,1.44196,1.23978,0.788307
38,2.82302,1.95227,1.33572,1.23347,0.788789
39,2.82134,1.89723,1.29201,1.249,0.788232
40,2.77869,1.87812,1.25133,1.23849,0.788286
41,2.73747,1.79729,1.20903,1.24397,0.788147
42,2.72824,1.79108,1.16581,1.24741,0.788144
43,2.6856,1.7703,1.13909,1.23664,0.788155
44,2.67545,1.69829,1.09609,1.25247,0.788283
45,2.62915,1.68353,1.06056,1.25145,0.788697
46,2.62311,1.63439,1.01836,1.2431,0.788543
47,2.59405,1.63094,0.997551,1.25902,0.788021
48,2.57019,1.57793,0.967185,1.2409,0.788283
49,2.53083,1.55575,0.931886,1.24537,0.788165
